ID,News,Label,translated_text
FAKE_1027,പുതുപ്പള്ളിയിൽ നടന്ന വികസനത്തെ പറ്റിയുള്ള ചോദ്യത്തിന് ചാണ്ടി ഉമ്മൻ മറുപടി പറഞ്ഞില്ല,FALSE     ,My mother-in-law didn't answer about the development that took place in New York.
FAKE_1028,പുതുപ്പള്ളിയിലെ വികസനത്തേക്കുറിച്ച് തുറന്ന സംവാദത്തിന് തയ്യാറുണ്ടോ എന്ന ചോദ്യത്തിന് മറുപടി പറയാതെ ചാണ്ടി ഉമ്മൻ.,FALSE     ,Don't say that you're going to have an open argument about the development of the New Year's Eve.
FAKE_1029,"""നടപ്പാക്കാൻ കഴിയില്ലെന്ന് പറഞ്ഞ് ഉമ്മൻ ചാണ്ടി സർക്കാർ ഇട്ടിട്ട് പോയതും UDF ഉം BJP യും ഒരേ ശബ്ദത്തിൽ നടത്താൻ കഴിയില്ലെന്ന് പിണറായിയെ വെല്ലുവിളിക്കുകയും ചെയ്ത ദേശീയ പാത. 2025 ൽ കാസർഗോഡ് മുതൽ തിരുവനന്തപുരം വരെ ഈ പാത ഇങ്ങനെ സൂപ്പറാകും. ആദ്യം പണിപൂർത്തിയായ കാസർഗോഡ് റീച്ചിലെ ദൃശ്യം",FALSE     ,"""The mother of the U.S. and the U.S. government couldn't keep her voice in the same voice as the U.S. and faced the challenge of being in the middle line from 205 to 205 of the national tower."
FAKE_1030,മുന്‍ കോണ്‍ഗ്രസ് സര്‍ക്കാര്‍ ഒന്നര വര്‍ഷത്തെ പെന്‍ഷന്‍ കുടിശിക വരുത്തിയിരുന്നു.,HALF TRUE,The Muslims had a year and a half of a day's arrival.
FAKE_1031,സ്വർണക്കടത്തിൽ അറസ്റ്റിലായ പ്രതി സരിത്തിനൊപ്പം മുൻ മുഖ്യമന്ത്രി ഉമ്മൻചാണ്ടി,FALSE     ,The first prime minister of the former Ministry of Gold at the University of São Paulo.
FAKE_1032,പൊതുമരാമത്ത് വകുപ്പ് കോഴിക്കോട് നിര്‍മിച്ച റോഡ്.,FALSE     ,The public general government set up a fair road for the chicken chicken.
FAKE_1033,കോഴിക്കോട് തളി ശിവക്ഷേത്രത്തിൽ ദർശനം പൊലീസ് കാവലിൽ,FALSE     ,The vision of the chicken feeding chicken in the watch of police guards
FAKE_1034,കോഴിക്കോട് തളി ശിവക്ഷേത്രം നിൽക്കുന്ന പ്രദേശം മർക്കസ് ദുവ എന്ന് പുനർനാമകരണം ചെയ്തു,FALSE     ,The area where the chicken is standing has been re-semed.
FAKE_1035,കോഴിക്കോട് ചിന്തന്‍ ശിബിരത്തില്‍ പങ്കെടുക്കാത്തതുമായി ബന്ധപ്പെട്ട മാധ്യമങ്ങളുടെ ചോദ്യത്തിന് രോഷാകുലനായി പ്രതികരിക്കുന്ന മുല്ലപ്പള്ളി രാമചന്ദ്രന്‍.,FALSE     ,"In the United States, for example, it is estimated that about half of the population of the world's population in the United States, up to half of the world's population in the United States and the United States, over half of the world's population live in the United States."
FAKE_1036,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തില്‍ ആരും പങ്കെടുത്തില്ല,FALSE     ,"At the meeting, no one attended."
FAKE_1037,കോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചുകോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചു,HALF TRUE,"The chicken can eat six hundred pounds [50 kg] of chicken at the restaurant, and it's 650 pounds [50 kg] of chicken at the restaurant, and it's about 650 pounds [50 kg] of chicken for the rest of the day."
FAKE_1038,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തിലെ ഒഴിഞ്ഞ കസേരകൾ.,FALSE     ,The empty chairs at the meeting.
FAKE_1039,1970കളിൽ കോഴിക്കോട് ഫൂട്ബോൾ കളി കാണാൻ വന്ന സ്ത്രീകളുടെ ഫോട്ടോ.,FALSE     ,The picture of the women who came to watch the chicken feeding game in 1970.
FAKE_1040,വഖഫ് സംരക്ഷണത്തിനായുള്ള മുസ്ലീം ലീഗ് സമ്മേളനം കോഴിക്കോട് ബീച്ചില്‍ നടന്നതിനു തൊട്ടടുത്ത ദിവസം ബെവ്‌കോ പുറത്തുവിട്ട കണക്കില്‍ കോഴിക്കോട് ജില്ലയില്‍ റെക്കോഡ് മദ്യ വില്‍പന.,FALSE     ,"The next day, the Muslim assembly of the chicken on the beach for protection was held on the beach, and on the next day the chicken was taken out of the couldn't be seen."
FAKE_1041,ഡിസംബർ 9നു കോഴിക്കോട് റെക്കോഡ് മദ്യവില്‍പന.,FALSE     ,"On December 9, the chicken was reported to the chicken."
FAKE_1042,ഐ.എ.എസ് ഇന്‍റര്‍വ്യൂവില്‍ കോഴിക്കോട് സബ് കളക്റ്റര്‍ ശ്രീധന്യ സുരേഷ് നേരിട്ട ചോദ്യങ്ങളെയും നല്‍കിയ ഉത്തരങ്ങളെയും കുറിച്ചുള്ള ലേഖനം,FALSE     ,"The article on the matter of why I was born with the U.S.R.I.R.R.R.R.R.A.'s interview with the chicken of P.I.A., and what was the answer to the questions and questions that took place in the United States? . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . I. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
FAKE_1043,കോഴിക്കോട് സിറ്റി ട്രാഫിക് പോലീസിന്‍റെ സന്ദേശം,FALSE     ,The city's traffic police message to the chicken chicken.
FAKE_1044,പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയെ കാണാൻ കൊച്ചിയിൽ എത്തിയ ജനം.,FALSE     ,The people came to visit the prime minister Matoito.
FAKE_1045,കൊച്ചി ലുലുമാൾ പിവിആർ ഫിലിം സിറ്റിയിൽ പുഴ മുതൽ പുഴ വരെ കാണാനുള്ള ജനത്തിരക്ക്,FALSE     ,For the people to see the river from the river to the river
FAKE_1046,കൊച്ചി ലുലുമാള്‍ പിവിആര്‍ ഫിലിം സിറ്റിയില്‍ പുഴ മുതല്‍ പുഴ വരെ കാണാനെത്തിയവരുടെ തിരക്ക്.,FALSE     ,"The village of Tyresia, a small village in the Philippines, is looking for people who come to the river to see the river."
FAKE_1047,ഹരിദ്വാറിലെ പെന്റഗണ്‍ മാളിൽ പഠാന്‍ സിനിമ കാണാന്‍ എത്തിയവരുടെ തിരക്ക്,FALSE     ,"They've come to see a movie on the front of the theater, in the theater, and on the other hand, they're in a hurry to see a movie."
FAKE_1048,വ്യവസായ മന്ത്രി പി രാജീവ് കൊച്ചി മെട്രോയ്ക്ക് എതിരെ സമരം ചെയ്തു,FALSE     ,The director of the company fought against Pimington Premor.
FAKE_1049,കൊച്ചിയിലെ വെള്ളപ്പൊക്കത്തില്‍ നിന്നുള്ള ചിത്രം.,FALSE     ,It's a picture of the flood in the little girl's eye.
FAKE_1050,പന്നി ഇറച്ചി കൈവശം വെച്ചതിന് കേരളത്തിലെ മലപ്പുറത്ത് ബിഹാറിൽ നിന്നുള്ള അതിഥി തൊഴിലാളിയെ കൊലപ്പെടുത്തി.,FALSE     ,He was killed by a guest from Bahham on the hill for putting the pig's flesh in his hand.
FAKE_1051,ബംഗാളിലെ സിപിഎം നേതാവ് മലപ്പുറത്ത് ഹോട്ടലില്‍ ജീവനക്കാരനായി പണിയെടുത്ത് തുടങ്ങി,FALSE     ,"The CMS leader on the mountain floor of CMM, working as a life worker."
FAKE_1052,പെരുന്നാൾ ദിവസം മലപ്പുറത്ത്‌ നടന്ന ഒരു സദാചാര ഗുണ്ടായിസത്തിന്റെ വീഡിയോ.,FALSE     ,"On the day of the festival, there was a moral code that took place on the mountain."
FAKE_1053,ഗുരുവായൂർ സന്ദർശിച്ചപ്പോൾ പ്രളയബാധിത പ്രദേശങ്ങളും സന്ദർശിക്കാമായിരുന്നു'; മോദിയെ വിമർശിച്ച് രാഹുൽ,FALSE     ,"When the Great Teacher visited, he could have visited the land of the Flood and the land of the flood."
FAKE_1054,ഗുരുവായൂർ ക്ഷേത്രത്തിൽ പുതുതായി ജനിച്ച ആനകുട്ടിയുടെ വീഡിയോ.,FALSE     ,The video of the new elephant born in the Kingdom Hall.
FAKE_1055,നിലയ്ക്കല്‍-പമ്പ ബസ് നിരക്ക് 100 രൂപയാക്കി കെഎസ്ആര്‍ടിസി. 30 കിലോമീറ്റര്‍ ദൂരമുള്ള തൃശൂര്‍-ഗുരുവായൂര്‍ റൂട്ടില്‍ 25 രൂപ ഈടാക്കുമ്പോഴാണ് വെറും 18 കിലോമീറ്ററിനാണ് 100 രൂപ ഈടാക്കുന്നത്.,FALSE     ,"It's a total of 100 miles [30 km] from K.C.I.E.L.L.D. to make the last 100 - mile [30 km] long, it's only worth it's about 25 miles [30 km] away."
FAKE_1056,ഓഗസ്റ്റ് 5 മുതൽ വാട്സ് ആപ്പ് സന്ദേശങ്ങൾ കേരളത്തിൽ നിരീക്ഷപ്പെടും.,FALSE     ,"From August 5 to September, the signal messages will be observed on the scene."
FAKE_1057,വാച്ച് യുവർ നെയ്ബർ എന്ന പദ്ധതി കേരള പോലീസ് ആവിഷ്കരിച്ചു,FALSE     ,The police set up the watch as the Watcher's Button.
FAKE_1058,അയൽക്കാരെ നീരിക്ഷിക്കാനുള്ള കേരള പോലീസ് പദ്ധതി.,FALSE     ,The police plan to protect their neighbors.
FAKE_1059,വാച്ച് യുവര്‍ നെയ്ബര്‍ എന്ന പേരില്‍ കേരള പൊലീസ് പദ്ധതി നടപ്പാക്കുന്നു.,FALSE     ,The police plan to run the watch by the name of the young Watch Tower Society.
FAKE_1060,കേരളത്തില്‍ കഞ്ചാവിന്‍റെയും എം‍ഡിഎംഎ പോലെയുള്ള കെമിക്കല്‍ ലഹരിമരുന്നുകളുടെയും ഉപയോഗവും വില്‍പ്പനയും വ്യാപകമായി വര്‍ദ്ധിച്ചു -കേരള പോലീസ് പുറത്തിറക്കിയ മുന്നറിയിപ്പ്,FALSE     ,"In the middle of the 20th century, the number of drug - related drugs, such as PMD and the use of alcoholic beverages, has increased, the use of alcoholic beverages, and the use of alcohol - related drugs, has spread far over the world, and the police have been released by police."
FAKE_1061,കുട്ടികളിലെ ലഹരി ഉപയോഗം രക്ഷിതാക്കള്‍ക്ക് കേരള പൊലീസിന്റെ ജാഗ്രതാ നിര്‍ദ്ദേശം.,FALSE     ,The use of alcohol in children is the first step toward the police to stop the use of alcohol.
FAKE_1062,ആലപ്പുഴയിൽ പോപ്പുലർ ഫ്രണ്ട് സംഘടിപ്പിച്ച പരിപാടിയിൽ വിവാദമായ മുദ്രാവാക്യമുയർത്തിയ കുട്ടിയുടെ പിതാവിനെ കസ്റ്റഡിയിൽ എടുക്കുന്ന കേരള പോലീസ് ഉദ്യോഗസ്ഥരുടെ ചിത്രം.,FALSE     ,The police picture of the police officers who take the father of a child in custody at the front of the theater.
FAKE_1063,യൂണിഫോമിനൊപ്പം താടി നീട്ടി വളര്‍ത്തിയ കേരള പൊലീസ് ഉദ്യോഗസ്ഥന്‍.,FALSE     ,The chief of police officer who grew up with his beard with the uniform was the police officer.
FAKE_1064,പാലക്കാട് ജില്ലയിൽ ടൂവീലറിൽ സ്ത്രീകളും കുട്ടികളും ഒഴികെയുള്ളവരുടെ പിൻസീറ്റ് യാത്ര നിരോധിച്ചിരിക്കുന്നു - കേരള പോലീസ്,FALSE     ,"In the bridge of the bridge, women and children are forbidden to travel, except for the rest of the police, except for the children."
FAKE_1065,കേരള പൊലീസിലേക്ക് മുസ്ലീങ്ങളെ മാത്രം ഉള്‍പ്പെടുത്തി പ്രത്യേക നിയമനം നടത്തുന്നു.,FALSE     ,"In fact, it has been said that it is ""the most important work of all time, "" that is,"" the most important thing to do, "" that is, to do what is right in Jehovah's eyes. — See the box ""What Is the Bible About? """
FAKE_1066,ക്രിസ്തുമസ് ആഘോഷവുമായി ബന്ധപ്പെട്ട് കേരളാ പോലീസ് നിയന്ത്രണങ്ങൾ ഏർപ്പെടുത്തി.,FALSE     ,"In connection with Christmas, the police set up control of the police."
FAKE_1067,കേരളാ പോലീസിലെ കോൺസ്റ്റബിൾ ഒഴിവുകളിലേയ്ക്ക് റിക്രൂട്ട്മെന്റ് നടത്തുന്നു. സെപ്റ്റംബർ 30 വരെ അപേക്ഷിക്കാം.,FALSE     ,I'll request you until September 30th.
FAKE_1068,ബ്ലഡ് ടെസ്റ്റ് ചെയ്യാനെന്ന പേരില്‍ എച്ച്‌ഐവി പരത്തുന്ന സംഘം ഇറങ്ങിയിട്ടുണ്ടെന്ന് കേരള പൊലീസിന്റെ മുന്നറിയിപ്പ്,FALSE     ,"It's called blood test, that the president of the U.S.A.'s threat to blood supply has been threatened by the U.S. government."
FAKE_1069,ശബരിമലയില്‍ അപ്പം-അരവണ നിര്‍മ്മാണത്തിന് ഭക്തര്‍ നെയ്‌ത്തേങ്ങയില്‍ കൊണ്ടുവരുന്ന നെയ്യാണ് ഉപയോഗിക്കുന്നത്.,FALSE     ,"In the mountains, the symbuling of bread is used for the fear of God and is used as a cloth."
FAKE_1070,ശബരിമല സ്‌പെഷ്യല്‍ ട്രെയ്‌നുകള്‍ക്ക് അധിക നിരക്ക് ഈടാക്കി ഇന്ത്യന്‍ റെയില്‍വെ.,HALF TRUE,"In India India, India's capital city, India, is now home to more than a million people."
FAKE_1071,കെ‌എസ്‌ആര്‍‌ടി‌സി ശബരിമല സര്‍വീസ്- ചെങ്ങന്നൂര്‍-പമ്പ യാത്രയ്ക്കും മടക്ക യാത്രയ്ക്കും രണ്ടു ടിക്കറ്റ് നിരക്ക്,FALSE     ,KSSSSSIRIBIBURUR-RO-RO-G-P-R-E-R-D-R-R-E-D-D-E-D-D-D-D-E-D-D-D-D- and two ticket tickets for a trip and two hours for a trip and two hours for the trip and two hours for the return trip.
FAKE_1072,ശബരിമലയിലേക്ക് സര്‍വീസ് നടത്തുന്ന കെഎസ്ആര്‍ടിസി ബസുകളില്‍ അടിസ്ഥാനമില്ലാതെ വ്യത്യസ്ഥ നിരക്കുകള്‍ ഈടാക്കുന്നു.,FALSE     ,"The KSSScres are set up to the mountain of Kabbul, which is set up in the KSSB."
FAKE_1073,ശബരിമല-പമ്പ റോഡിൽ പശുവിനെ പുലി പിടിക്കുന്നു.,FALSE     ,The cow's been caught on the Kabba-bul road.
FAKE_1074,തെലുങ്ക് നടന്‍ ചിരഞ്ജീവിക്കൊപ്പം യുവതി ശബരിമല സന്ദര്‍ശനം നടത്തുന്ന ചിത്രങ്ങള്‍ പുറത്ത്.,FALSE     ,The young woman with the symbbotist's life-in-lawed pictures are outside.
FAKE_1075,ശബരിമലയില്‍ വീണ്ടും ആചാര ലംഘനം,FALSE     ,"During the reign of King David of ancient Israel, God's Law to Israel was to be carried out in the land of Canaan."
FAKE_1076,കേരളത്തിലെ ശബരിമല സന്നിധാനത്തിൽ ലഭിക്കുന്ന പ്രധാന മധുര പ്രസാദമാണ് അരവണ പായസം. പായസം ഉണ്ടാക്കുന്നതിനുള്ള ടെണ്ടർ ഒരു മുസ്ലീമിനാണ് നൽകിയത്. അയാൾ പ്രസാദം ഹലാൽ ആണെന്ന് സാക്ഷ്യപ്പെടുത്തുന്നു. എന്തിനാണ് പ്രസാദം,FALSE     ,"It's a special pleasure to receive the best gift at the Kabbba's Kabba's Kabba, who gave it to me as a lady to make the sail. Why is he so pleased?"
FAKE_1077,409 വര്‍ഷം പഴക്കമുള്ള ശബരിമല ക്ഷേത്രത്തിന്റെ ചിത്രം. ഈ ചിത്രമെടുത്ത ശേഷമാണ് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യാ കമ്പനി അവരുടെ നാണയത്തില്‍ അയ്യപ്പന്റെ ചിത്രം ഉള്‍പ്പെടുത്തിയത്.,FALSE     ,409 B.C.E.'s image of the ancient temple temple.
FAKE_1078,പ്രിയ വര്‍ഗീസിന്‍റെ കണ്ണൂര്‍ സര്‍വകലാശാലയിലെ നിയമനം തടഞ്ഞ കോടതി വിധിക്കെതിരെ പ്രിയ വര്‍ഗീസും കുടുംബവും പ്രതിഷേധിക്കുന്ന വീഡിയോ,FALSE     ,My dear wife and her family are opposed to the court's decision against the court's decision to stop the court's decision to stop the country's view of love and justice.
FAKE_1079,കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരനെതിരെ കടുത്ത വിമര്‍ശനവുമായി കണ്ണൂര്‍ ഡിസിസി ജനറല്‍ സെക്രട്ടറി പ്രദീപ് വട്ടിപ്രം.,FALSE     ,"KCCS President KCD with a severe eye attack on the Minister of Justice, General D.C.I.A.'s secretary."
FAKE_1080,കണ്ണൂർ എയർപോർട്ടിനായി ഭൂമി ഏറ്റെടുക്കുന്നതിനെതിരെ യുഡിഎഫ് സർക്കാരിൻറെ കാലത്ത് മട്ടന്നൂർ എംഎൽഎ പി ജയരാജന്റെ ഉപവാസ വേദിയിൽ സിപിഎം സംസ്ഥാന സെക്രട്ടറി കോടിയേരി ബാലകൃഷ്ണൻ നിൽക്കുന്ന ചിത്രം.,FALSE     ,"In the days of the U.S. government of the United States, when the U.S. government takes over the land for the blind, the DMMM is set up on the stage of the King's DMMMD."
FAKE_1081,കണ്ണൂർ എയർപോർട്ടിൽ വെച്ച് ഉണ്ടായ സംഭവമാണ് ഇത്. പോക്കറ്റിനുള്ളിൽ പവർ ബാങ്ക് വെച്ച് മൊബൈൽ ചാർജ് ചെയ്തതാണ്.,FALSE     ,This is what happened at the blind airport... in the pocket of the power bank.
FAKE_1082,അമേരിക്കയില്‍ നടന്ന റിയാലിറ്റിഷോയില്‍ വിജയികളായ കണ്ണൂര്‍ പൊതുവാച്ചേരിയില്‍ നിന്നുള്ള ടീം,FALSE     ,"The victory team from the general public community in the United States, where the U.S.A., was located in São Paulo, U.S.A."
FAKE_1083,പാലക്കാട് ഇരുചക്രവാഹനങ്ങളിൽ പുരുഷന്മാരുടെ പിൻസീറ്റ് യാത്ര കേരളാ പോലീസ് പൂർണ്ണമായും നിരോധിച്ചു.,HALF TRUE,The police were completely banned by men on both wheels.
