ID,News,Label
FAKE_1011,മുഖ്യമന്ത്രിയുടെ ബിനാമി എന്ന് സ്വർണക്കടത്തു കേസ് സ്വപ്ന സുരേഷ് ആരോപിക്കുന്ന ഷാജ് കിരണുമായി മുഖ്യമന്ത്രി പിണറായി വിജയൻ നിൽക്കുന്ന ചിത്രം.,FALSE     
FAKE_1012,പിണറായി വിജയന്‍ ഇടപെട്ട് കേരളത്തില്‍ നിന്നുള്ള സംസ്‌കൃത സിനിമ പ്രിയമാനസം IFFK യില്‍ നിന്ന് ഒഴിവാക്കി. ഹിന്ദുത്വ അജന്‍ഡയാണ് ചിത്രത്തിനെന്ന് ആരോപിച്ചാണ് ഒഴിവാക്കല്‍,FALSE     
FAKE_1013,മുഖ്യമന്ത്രി പിണറായി വിജയനെ ഡല്‍ഹിയിലേക്ക് വിളിപ്പിച്ച്് കോളറില്‍ പിടിച്ച് പ്രധാനമന്ത്രി.,FALSE     
FAKE_1014,കോടതി പറഞ്ഞാല്‍ പൗരത്വ നിയമം നടപ്പിലാക്കുമെന്ന് മുഖ്യമന്ത്രി പിണറായി വിജയന്‍,FALSE     
FAKE_1015,"""അയ്യപ്പ വിശ്വാസികളുടെ വോട്ട് സി.പി.എമ്മിന് വേണ്ട. കമ്മ്യൂണിസ്റ്റ് പാർട്ടി തരംതാണിട്ടില്ല, "" മുഖ്യമന്ത്രി പിണറായി വിജയൻ പറഞ്ഞു",FALSE     
FAKE_1016,ഏതൊരു മലയാളിയേയും പോലെ പിണറായി സർക്കാരിന്റെ തുടർഭരണത്തിനായി ആഗ്രഹിക്കുന്നെന്ന് ഫഹദ് ഫാസിൽ,FALSE     
FAKE_1017,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു",FALSE     
FAKE_1018,1977ലെ തിരഞ്ഞെടുപ്പ് സമയത്ത് ബിജെപി പിന്തുണയോടെ എൽ ഡി എഫ് സ്ഥാനാർത്ഥിയായി പിണറായി വിജയൻ മത്സരിച്ചുയെന്ന് തെളിയിക്കുന്ന പോസ്റ്റർ പുറത്ത്.,FALSE     
FAKE_1019,മെല്‍ബണില്‍ പിണറായിക്ക് ആദരമായി കൂറ്റന്‍ ബോർഡ്; ഫോട്ടോഷോപ്പോ അതോ...സത്യം പുറത്ത്,HALF TRUE
FAKE_1020,മുഖ്യമന്ത്രി പിണറായി വിജയനെതിരെ വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തി,FALSE     
FAKE_1021,മുഖ്യമന്ത്രി പിണറായി വിജയനെ പി ശ്രീരാമകൃഷ്ണന്‍ വിമര്‍ശിക്കുന്നത്,FALSE     
FAKE_1022,തിരഞ്ഞെടുപ്പ് പ്രചാരണത്തിനിടെ മുഖ്യമന്ത്രി പിണറായി വിജയനെ പൊതുവേദിയിൽവെച്ചു കമ്മ്യൂണിസ്റ്റ്‌ പ്രവർത്തകൻ ആക്രമിച്ചതിന്റെ വീഡിയോ പുറത്ത്.,FALSE     
FAKE_1023,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു.",FALSE     
FAKE_1024,സ്വപ്ന പിണറായി യുടെ മകളുടെ കല്യാണത്തിന് പങ്കെടുത്ത ഫോട്ടോ പുറത്ത്,FALSE     
FAKE_1025,"പിണറായി അഭിനന്ദിച്ചു, ബമ്പര്‍ അടിച്ച ലോട്ടറി പായലിന് നഷ്ടമായി'; വാര്‍ത്ത ഏഷ്യാനെറ്റ് ന്യൂസിന്‍റെയല്ല",FALSE     
FAKE_1026,പിണറായി വിജയന്‍ വൃക്ഷതൈ നടാന്‍ ബൂട്ടും ഗ്ലൌവ്സും ഇട്ടു പോകുന്നതിന്‍റെ ചിത്രം.,FALSE     
FAKE_1027,പുതുപ്പള്ളിയിൽ നടന്ന വികസനത്തെ പറ്റിയുള്ള ചോദ്യത്തിന് ചാണ്ടി ഉമ്മൻ മറുപടി പറഞ്ഞില്ല,FALSE     
FAKE_1028,പുതുപ്പള്ളിയിലെ വികസനത്തേക്കുറിച്ച് തുറന്ന സംവാദത്തിന് തയ്യാറുണ്ടോ എന്ന ചോദ്യത്തിന് മറുപടി പറയാതെ ചാണ്ടി ഉമ്മൻ.,FALSE     
FAKE_1029,"""നടപ്പാക്കാൻ കഴിയില്ലെന്ന് പറഞ്ഞ് ഉമ്മൻ ചാണ്ടി സർക്കാർ ഇട്ടിട്ട് പോയതും UDF ഉം BJP യും ഒരേ ശബ്ദത്തിൽ നടത്താൻ കഴിയില്ലെന്ന് പിണറായിയെ വെല്ലുവിളിക്കുകയും ചെയ്ത ദേശീയ പാത. 2025 ൽ കാസർഗോഡ് മുതൽ തിരുവനന്തപുരം വരെ ഈ പാത ഇങ്ങനെ സൂപ്പറാകും. ആദ്യം പണിപൂർത്തിയായ കാസർഗോഡ് റീച്ചിലെ ദൃശ്യം",FALSE     
FAKE_1030,മുന്‍ കോണ്‍ഗ്രസ് സര്‍ക്കാര്‍ ഒന്നര വര്‍ഷത്തെ പെന്‍ഷന്‍ കുടിശിക വരുത്തിയിരുന്നു.,HALF TRUE
FAKE_1031,സ്വർണക്കടത്തിൽ അറസ്റ്റിലായ പ്രതി സരിത്തിനൊപ്പം മുൻ മുഖ്യമന്ത്രി ഉമ്മൻചാണ്ടി,FALSE     
FAKE_1032,പൊതുമരാമത്ത് വകുപ്പ് കോഴിക്കോട് നിര്‍മിച്ച റോഡ്.,FALSE     
FAKE_1033,കോഴിക്കോട് തളി ശിവക്ഷേത്രത്തിൽ ദർശനം പൊലീസ് കാവലിൽ,FALSE     
FAKE_1034,കോഴിക്കോട് തളി ശിവക്ഷേത്രം നിൽക്കുന്ന പ്രദേശം മർക്കസ് ദുവ എന്ന് പുനർനാമകരണം ചെയ്തു,FALSE     
FAKE_1035,കോഴിക്കോട് ചിന്തന്‍ ശിബിരത്തില്‍ പങ്കെടുക്കാത്തതുമായി ബന്ധപ്പെട്ട മാധ്യമങ്ങളുടെ ചോദ്യത്തിന് രോഷാകുലനായി പ്രതികരിക്കുന്ന മുല്ലപ്പള്ളി രാമചന്ദ്രന്‍.,FALSE     
FAKE_1036,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തില്‍ ആരും പങ്കെടുത്തില്ല,FALSE     
FAKE_1037,കോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചുകോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചു,HALF TRUE
FAKE_1038,കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തിലെ ഒഴിഞ്ഞ കസേരകൾ.,FALSE     
FAKE_1039,1970കളിൽ കോഴിക്കോട് ഫൂട്ബോൾ കളി കാണാൻ വന്ന സ്ത്രീകളുടെ ഫോട്ടോ.,FALSE     
FAKE_1040,വഖഫ് സംരക്ഷണത്തിനായുള്ള മുസ്ലീം ലീഗ് സമ്മേളനം കോഴിക്കോട് ബീച്ചില്‍ നടന്നതിനു തൊട്ടടുത്ത ദിവസം ബെവ്‌കോ പുറത്തുവിട്ട കണക്കില്‍ കോഴിക്കോട് ജില്ലയില്‍ റെക്കോഡ് മദ്യ വില്‍പന.,FALSE     
FAKE_1041,ഡിസംബർ 9നു കോഴിക്കോട് റെക്കോഡ് മദ്യവില്‍പന.,FALSE     
FAKE_1042,ഐ.എ.എസ് ഇന്‍റര്‍വ്യൂവില്‍ കോഴിക്കോട് സബ് കളക്റ്റര്‍ ശ്രീധന്യ സുരേഷ് നേരിട്ട ചോദ്യങ്ങളെയും നല്‍കിയ ഉത്തരങ്ങളെയും കുറിച്ചുള്ള ലേഖനം,FALSE     
FAKE_1043,കോഴിക്കോട് സിറ്റി ട്രാഫിക് പോലീസിന്‍റെ സന്ദേശം,FALSE     
FAKE_1044,പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയെ കാണാൻ കൊച്ചിയിൽ എത്തിയ ജനം.,FALSE     
FAKE_1045,കൊച്ചി ലുലുമാൾ പിവിആർ ഫിലിം സിറ്റിയിൽ പുഴ മുതൽ പുഴ വരെ കാണാനുള്ള ജനത്തിരക്ക്,FALSE     
FAKE_1046,കൊച്ചി ലുലുമാള്‍ പിവിആര്‍ ഫിലിം സിറ്റിയില്‍ പുഴ മുതല്‍ പുഴ വരെ കാണാനെത്തിയവരുടെ തിരക്ക്.,FALSE     
FAKE_1047,ഹരിദ്വാറിലെ പെന്റഗണ്‍ മാളിൽ പഠാന്‍ സിനിമ കാണാന്‍ എത്തിയവരുടെ തിരക്ക്,FALSE     
FAKE_1048,വ്യവസായ മന്ത്രി പി രാജീവ് കൊച്ചി മെട്രോയ്ക്ക് എതിരെ സമരം ചെയ്തു,FALSE     
FAKE_1049,കൊച്ചിയിലെ വെള്ളപ്പൊക്കത്തില്‍ നിന്നുള്ള ചിത്രം.,FALSE     
FAKE_1050,പന്നി ഇറച്ചി കൈവശം വെച്ചതിന് കേരളത്തിലെ മലപ്പുറത്ത് ബിഹാറിൽ നിന്നുള്ള അതിഥി തൊഴിലാളിയെ കൊലപ്പെടുത്തി.,FALSE     
FAKE_1051,ബംഗാളിലെ സിപിഎം നേതാവ് മലപ്പുറത്ത് ഹോട്ടലില്‍ ജീവനക്കാരനായി പണിയെടുത്ത് തുടങ്ങി,FALSE     
FAKE_1052,പെരുന്നാൾ ദിവസം മലപ്പുറത്ത്‌ നടന്ന ഒരു സദാചാര ഗുണ്ടായിസത്തിന്റെ വീഡിയോ.,FALSE     
FAKE_1053,ഗുരുവായൂർ സന്ദർശിച്ചപ്പോൾ പ്രളയബാധിത പ്രദേശങ്ങളും സന്ദർശിക്കാമായിരുന്നു'; മോദിയെ വിമർശിച്ച് രാഹുൽ,FALSE     
FAKE_1054,ഗുരുവായൂർ ക്ഷേത്രത്തിൽ പുതുതായി ജനിച്ച ആനകുട്ടിയുടെ വീഡിയോ.,FALSE     
FAKE_1055,നിലയ്ക്കല്‍-പമ്പ ബസ് നിരക്ക് 100 രൂപയാക്കി കെഎസ്ആര്‍ടിസി. 30 കിലോമീറ്റര്‍ ദൂരമുള്ള തൃശൂര്‍-ഗുരുവായൂര്‍ റൂട്ടില്‍ 25 രൂപ ഈടാക്കുമ്പോഴാണ് വെറും 18 കിലോമീറ്ററിനാണ് 100 രൂപ ഈടാക്കുന്നത്.,FALSE     
FAKE_1056,ഓഗസ്റ്റ് 5 മുതൽ വാട്സ് ആപ്പ് സന്ദേശങ്ങൾ കേരളത്തിൽ നിരീക്ഷപ്പെടും.,FALSE     
FAKE_1057,വാച്ച് യുവർ നെയ്ബർ എന്ന പദ്ധതി കേരള പോലീസ് ആവിഷ്കരിച്ചു,FALSE     
FAKE_1058,അയൽക്കാരെ നീരിക്ഷിക്കാനുള്ള കേരള പോലീസ് പദ്ധതി.,FALSE     
FAKE_1059,വാച്ച് യുവര്‍ നെയ്ബര്‍ എന്ന പേരില്‍ കേരള പൊലീസ് പദ്ധതി നടപ്പാക്കുന്നു.,FALSE     
FAKE_1060,കേരളത്തില്‍ കഞ്ചാവിന്‍റെയും എം‍ഡിഎംഎ പോലെയുള്ള കെമിക്കല്‍ ലഹരിമരുന്നുകളുടെയും ഉപയോഗവും വില്‍പ്പനയും വ്യാപകമായി വര്‍ദ്ധിച്ചു -കേരള പോലീസ് പുറത്തിറക്കിയ മുന്നറിയിപ്പ്,FALSE     
FAKE_1061,കുട്ടികളിലെ ലഹരി ഉപയോഗം രക്ഷിതാക്കള്‍ക്ക് കേരള പൊലീസിന്റെ ജാഗ്രതാ നിര്‍ദ്ദേശം.,FALSE     
FAKE_1062,ആലപ്പുഴയിൽ പോപ്പുലർ ഫ്രണ്ട് സംഘടിപ്പിച്ച പരിപാടിയിൽ വിവാദമായ മുദ്രാവാക്യമുയർത്തിയ കുട്ടിയുടെ പിതാവിനെ കസ്റ്റഡിയിൽ എടുക്കുന്ന കേരള പോലീസ് ഉദ്യോഗസ്ഥരുടെ ചിത്രം.,FALSE     
FAKE_1063,യൂണിഫോമിനൊപ്പം താടി നീട്ടി വളര്‍ത്തിയ കേരള പൊലീസ് ഉദ്യോഗസ്ഥന്‍.,FALSE     
FAKE_1064,പാലക്കാട് ജില്ലയിൽ ടൂവീലറിൽ സ്ത്രീകളും കുട്ടികളും ഒഴികെയുള്ളവരുടെ പിൻസീറ്റ് യാത്ര നിരോധിച്ചിരിക്കുന്നു - കേരള പോലീസ്,FALSE     
FAKE_1065,കേരള പൊലീസിലേക്ക് മുസ്ലീങ്ങളെ മാത്രം ഉള്‍പ്പെടുത്തി പ്രത്യേക നിയമനം നടത്തുന്നു.,FALSE     
FAKE_1066,ക്രിസ്തുമസ് ആഘോഷവുമായി ബന്ധപ്പെട്ട് കേരളാ പോലീസ് നിയന്ത്രണങ്ങൾ ഏർപ്പെടുത്തി.,FALSE     
FAKE_1067,കേരളാ പോലീസിലെ കോൺസ്റ്റബിൾ ഒഴിവുകളിലേയ്ക്ക് റിക്രൂട്ട്മെന്റ് നടത്തുന്നു. സെപ്റ്റംബർ 30 വരെ അപേക്ഷിക്കാം.,FALSE     
FAKE_1068,ബ്ലഡ് ടെസ്റ്റ് ചെയ്യാനെന്ന പേരില്‍ എച്ച്‌ഐവി പരത്തുന്ന സംഘം ഇറങ്ങിയിട്ടുണ്ടെന്ന് കേരള പൊലീസിന്റെ മുന്നറിയിപ്പ്,FALSE     
FAKE_1069,ശബരിമലയില്‍ അപ്പം-അരവണ നിര്‍മ്മാണത്തിന് ഭക്തര്‍ നെയ്‌ത്തേങ്ങയില്‍ കൊണ്ടുവരുന്ന നെയ്യാണ് ഉപയോഗിക്കുന്നത്.,FALSE     
FAKE_1070,ശബരിമല സ്‌പെഷ്യല്‍ ട്രെയ്‌നുകള്‍ക്ക് അധിക നിരക്ക് ഈടാക്കി ഇന്ത്യന്‍ റെയില്‍വെ.,HALF TRUE
FAKE_1071,കെ‌എസ്‌ആര്‍‌ടി‌സി ശബരിമല സര്‍വീസ്- ചെങ്ങന്നൂര്‍-പമ്പ യാത്രയ്ക്കും മടക്ക യാത്രയ്ക്കും രണ്ടു ടിക്കറ്റ് നിരക്ക്,FALSE     
FAKE_1072,ശബരിമലയിലേക്ക് സര്‍വീസ് നടത്തുന്ന കെഎസ്ആര്‍ടിസി ബസുകളില്‍ അടിസ്ഥാനമില്ലാതെ വ്യത്യസ്ഥ നിരക്കുകള്‍ ഈടാക്കുന്നു.,FALSE     
FAKE_1073,ശബരിമല-പമ്പ റോഡിൽ പശുവിനെ പുലി പിടിക്കുന്നു.,FALSE     
FAKE_1074,തെലുങ്ക് നടന്‍ ചിരഞ്ജീവിക്കൊപ്പം യുവതി ശബരിമല സന്ദര്‍ശനം നടത്തുന്ന ചിത്രങ്ങള്‍ പുറത്ത്.,FALSE     
FAKE_1075,ശബരിമലയില്‍ വീണ്ടും ആചാര ലംഘനം,FALSE     
FAKE_1076,കേരളത്തിലെ ശബരിമല സന്നിധാനത്തിൽ ലഭിക്കുന്ന പ്രധാന മധുര പ്രസാദമാണ് അരവണ പായസം. പായസം ഉണ്ടാക്കുന്നതിനുള്ള ടെണ്ടർ ഒരു മുസ്ലീമിനാണ് നൽകിയത്. അയാൾ പ്രസാദം ഹലാൽ ആണെന്ന് സാക്ഷ്യപ്പെടുത്തുന്നു. എന്തിനാണ് പ്രസാദം,FALSE     
FAKE_1077,409 വര്‍ഷം പഴക്കമുള്ള ശബരിമല ക്ഷേത്രത്തിന്റെ ചിത്രം. ഈ ചിത്രമെടുത്ത ശേഷമാണ് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യാ കമ്പനി അവരുടെ നാണയത്തില്‍ അയ്യപ്പന്റെ ചിത്രം ഉള്‍പ്പെടുത്തിയത്.,FALSE     
FAKE_1078,പ്രിയ വര്‍ഗീസിന്‍റെ കണ്ണൂര്‍ സര്‍വകലാശാലയിലെ നിയമനം തടഞ്ഞ കോടതി വിധിക്കെതിരെ പ്രിയ വര്‍ഗീസും കുടുംബവും പ്രതിഷേധിക്കുന്ന വീഡിയോ,FALSE     
FAKE_1079,കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരനെതിരെ കടുത്ത വിമര്‍ശനവുമായി കണ്ണൂര്‍ ഡിസിസി ജനറല്‍ സെക്രട്ടറി പ്രദീപ് വട്ടിപ്രം.,FALSE     
FAKE_1080,കണ്ണൂർ എയർപോർട്ടിനായി ഭൂമി ഏറ്റെടുക്കുന്നതിനെതിരെ യുഡിഎഫ് സർക്കാരിൻറെ കാലത്ത് മട്ടന്നൂർ എംഎൽഎ പി ജയരാജന്റെ ഉപവാസ വേദിയിൽ സിപിഎം സംസ്ഥാന സെക്രട്ടറി കോടിയേരി ബാലകൃഷ്ണൻ നിൽക്കുന്ന ചിത്രം.,FALSE     
FAKE_1081,കണ്ണൂർ എയർപോർട്ടിൽ വെച്ച് ഉണ്ടായ സംഭവമാണ് ഇത്. പോക്കറ്റിനുള്ളിൽ പവർ ബാങ്ക് വെച്ച് മൊബൈൽ ചാർജ് ചെയ്തതാണ്.,FALSE     
FAKE_1082,അമേരിക്കയില്‍ നടന്ന റിയാലിറ്റിഷോയില്‍ വിജയികളായ കണ്ണൂര്‍ പൊതുവാച്ചേരിയില്‍ നിന്നുള്ള ടീം,FALSE     
FAKE_1083,പാലക്കാട് ഇരുചക്രവാഹനങ്ങളിൽ പുരുഷന്മാരുടെ പിൻസീറ്റ് യാത്ര കേരളാ പോലീസ് പൂർണ്ണമായും നിരോധിച്ചു.,HALF TRUE
FAKE_1084,"പോലിസ് ഫ്രീ റൈഡ് സ്കീം ലോഞ്ച് ചെയ്തിരിക്കുന്നു. രാത്രികാലങ്ങളിൽ ഒറ്റയ്ക്കകപ്പെട്ടു പോവുന്ന സ്ത്രീകൾക്ക്, വീട്ടിൽ പോവാൻ വാഹനം ലഭ്യമില്ലാത്ത സാഹചര്യത്തിൽ രാത്രി 10 നും പുലർച്ച 6 മണിക്കും ഇടയിൽ, പോലീസ് ഹെൽപ്പ് ലൈൻ നമ്പർ 1091 & 7837018555 ൽ വിളിച്ച് വാഹനത്തിന് ആവശ്യപ്പെടാം. 24x7 സമയ...",FALSE     
FAKE_1085,മാസ്‌ക്കിനെ കുറിച്ചുള്ള ബോധവല്‍ക്കരണം പുലിവാലായി; പ്രതികള്‍ കേരള പൊലീസോ; വൈറല്‍ ചിത്രവും സത്യവും,FALSE     
FAKE_1086,കേരളത്തിലെ റെയില്‍വെ സ്‌റ്റേഷനിലേക്ക് വന്നിറങ്ങുന്ന ഇതരസംസ്ഥാന തൊഴിലാളികള്‍,HALF TRUE
FAKE_1087,മാസപ്പടി' വിവാദത്തില്‍ വാര്‍ത്ത നല്‍കരുതെന്ന് കേരള പത്രപ്രവര്‍ത്തക യൂണിയന്റെ നിര്‍ദ്ദേശം.,FALSE     
FAKE_1088,ഏക സിവില്‍ കോഡിനെതിരെ പ്രമേയം പാസാക്കുന്ന ആദ്യ സംസ്ഥാനമാണ് കേരളം.,HALF TRUE
FAKE_1089,റോഡ് വഴിയുള്ള ബാംഗ്ലൂർ-കേരള രാത്രി യാത്ര അപകടകരമാണ്.ബംഗളൂരു-മൈസൂർ എക്‌സ്‌പ്രസ്‌വേയിൽ കള്ളന്മാരും കൊള്ളക്കാരും വിഹരിക്കുന്നു.,FALSE     
FAKE_1090, വസ്തുതാപരിശോധന: ഇന്ത്യൻ പതാകയെ അനാദരിക്കുന്ന പാക്കിസ്ഥാനിൽ നിന്നുള്ള പഴയ വീഡിയോ തെറ്റായ അവകാശവാദത്തോടെ വൈറലാകുന്നു,FALSE     
FAKE_1091,കേരളത്തിലെ റോഡിന്റെ ശോച്യാവസ്ഥ.,FALSE     
FAKE_1092,കേരളത്തിലെ റോഡിലെ കുഴിയിൽ കാർ താഴ്ന്നതിൻ്റെ ചിത്രം,FALSE     
FAKE_1093,കേരളത്തിലെ റോഡില്‍ അടുത്തിടെ രൂപപ്പെട്ട വലിയ കുഴി.,HALF TRUE
FAKE_1094,"മദ്യപാനി വെള്ളക്കെട്ടുള്ള റോഡ് മുറിച്ചു കടക്കവെ സ്ലാബില്ലാത്ത ഓടയില്‍ വീഴുന്ന ദൃശ്യം, കേരളത്തില്‍ നിന്ന്.",FALSE     
FAKE_1095,ജനിച്ചയുടനെ കരയാതിരുന്ന കുഞ്ഞിൻ്റെ ജീവൻ രക്ഷിക്കുന്ന വീഡിയോ കേരളത്തിൽ നിന്നുള്ളത്,FALSE     
FAKE_1096,കേരളത്തില്‍ നിന്ന് കാണാതായ ഈ കുട്ടിയെ തമിഴ്‌നാട്ടില്‍ കണ്ടെത്തി.,HALF TRUE
FAKE_1097,ഫോട്ടോയിൽ ഉള്ളത് കേരളത്തിൽ നിന്നും തട്ടി കൊണ്ട് പോയ കുട്ടി.,FALSE     
FAKE_1098,പൂഞ്ഞാറിലെ പഞ്ചായത്ത് ഉപതിരഞ്ഞെടുപ്പ് പിസി ജോർജ്ജിന്റെ പാർട്ടിയുടെ പരാജയത്തിൽ മനം നൊന്ത് പാർവതി ഷോൺ കേരളത്തിൽ ജീവിക്കാൻ കൊള്ളില്ലെന്ന് പറയുന്നു.,FALSE     
FAKE_1099, ശ്രീലങ്കയിൽനിന്നുള്ള പഴ വീഡിയോ കേരളത്തിൽനിന്നുള്ളതെന്നപേരിൽ തെറ്റിദ്ധാരണാജനകമായ അവകാശവാദവുമായി വൈറലാകുന്നു,FALSE     
FAKE_1100,ദ കേരളാ സ്റ്റോറി സിനിമയുടെ റിലീസിന് ശേഷം മാവേലിക്കരയിൽ നടന്ന ദുർഗാവാഹിനി പഥസഞ്ചലൻ,FALSE     
FAKE_1101,ആർഎസ്എസ് പ്രവർത്തകയെ കേരളത്തിൽ മുസ്ലീങ്ങൾ കൊലപ്പെടുത്തുന്നു.,FALSE     
FAKE_1102,കേരള സ്‌റ്റോറിയിലെ നായിക ദേവൊലീന ഭട്ടാചാര്‍ജി മുസ്ലീം യുവാവിനൊപ്പം ഒളിച്ചോടി.,FALSE     
FAKE_1103,കേരളത്തിൽ ആർഎസ്എസ് പ്രവർത്തകയെ മുസ്ലിം മതവിശ്വാസികൾ വെടിവെച്ചു കൊല്ലുന്നതിൻ്റെ ദൃശ്യങ്ങൾ,FALSE     
FAKE_1104,ഐസിസ് എന്നെഴുതിയ ടീഷർട്ട് ധരിച്ച് കേരളത്തിലെ മുസ്ലിം യുവാക്കൾ,FALSE     
FAKE_1105,ലേഡീസ് ഹോസ്റ്റലിനു മുന്നില്‍ നഗ്നതാ പ്രദര്‍ശനം നടത്തിയ കേരള കോണ്‍ഗ്രസ് നേതാവ് എ.എച്ച് ഹാഫിസിനെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.,FALSE     
FAKE_1106,കേരളത്തിൽ വച്ചു വന്ദേഭാരതിന് നേരെ കല്ലേറുണ്ടായപ്പോൾ കേട് പറ്റിയ ജനാലയുടെ ചിത്രം,HALF TRUE
FAKE_1107,കേരള ഓട്ടൊമൊബൈല്‍ ലിമിറ്റഡിന്റെ കീഴിലുള്ള ഇ-ഓട്ടോകള്‍ നിര്‍മ്മാണം അവസാനിപ്പിച്ചു.,FALSE     
FAKE_1108,കേരള സർവകലാശാലയിൽ ആദ്യമായി എബിവിപിക്ക് ജയം .,FALSE     
FAKE_1109,പ്ലാസ്റ്റിക് ക്യാരി ബാഗുകളുടെ നിരോധനം ഹൈക്കോടതി റദ്ദാക്കി,FALSE     
FAKE_1110,പോർച്ചുഗൽ പതാക കീറിയതിന് കേരളത്തിലെ റൊണാൾഡോ ആരാധകർ ബിജെപി പ്രവർത്തകനെ മർദ്ദിച്ചു,FALSE     
FAKE_1111,കേരളത്തിലെ 21 മന്ത്രിമാര്‍ക്കും കൂടി 1110 പേഴ്‌സണല്‍ സ്റ്റാഫുകളെ നിയമിച്ചിട്ടുണ്ട്.,HALF TRUE
FAKE_1112,ആരാധനാലയങ്ങളില്‍ നിന്ന് വൈദ്യുതി നിരക്ക് ഈടാക്കുന്നതില്‍ വേര്‍തിരിവ്. മോസ്‌കുകള്‍ക്കും ക്രിസത്യന്‍ പള്ളികള്‍ക്കും നല്‍കേണ്ടി വരുന്ന തുകയേക്കാള്‍ കൂടുതല്‍ ക്ഷേത്രങ്ങള്‍ വൈദ്യുതി ചാര്‍ജായി നല്‍കേണ്ടിവരുന്നു.,FALSE     
