Predicted,Text
Fake,??????????????? ???????????? ??????? ????? ?????? ??? ??????? ????? ?????????? ??????????? ?????????? ???????? ??????  ?????????? ????? ????? ????????? ??????????
Fake,????????? ???????? ????? ???? ??????????? ????? ???????? ?????????????? ??????? ??????.. ??? ? ??????? ???? ?????????..??????? ??????????? ?
Fake,Evar oke ntena verte virus nne indakan nadakn
Fake,?????? ????? ???? ???? ???????? ?????? ??? ??????? ????? ??????????? ....  ?????? ????? ??????????? ?????????? ??? ????? ???? ??????????  ????????  ?????  ..  ??????? ?????????..  ????
Fake,Ningal 7aum arivu kandaal porey?
original,????????????? ?????? ?????????????? ???????????????? ???????????? ????????
Fake,America in Europe. ?????
Fake,Halal.  Covide.    O. K
Fake,We&#39
original,????? ????? ????????? ???????????????? ????? ??????&#39
Fake,??????????? ??? ?????? ?????. Amazon ???? ??????????? ???? ?????????? ???????????? ????? ???????? ????????? ???????????.
Fake,THERE IS A DIVINE HAND BEHIND IT.RETURN TO MORALITY
original,Kodi matre undavu anikal kanilla???
Fake,Manushyathwam illatha  kammikalalle China bharikunnathu  athukondu ithil athbhuthapedendathilla
original,Entealiyasammathichu
original,????????????????? ????????????? ???? ?????????? ????? ???????. ??????? ?????? ????? ????????????? ??????? ???????????????? ??????????? ? ???? ?????? ????????????? ???????? ????????????.
original,????? ?????????? ???? ??????????.151 ??? ?????????? ?????? ???????? ??? ????????? sagave
original,????? ???????? ???? ??????????? ???????? ?????
original,??????????? ????????????? ?????? ????????????? ???????????. ???? ????? ??????? ??????? ??????????? ???????? ?????
original,???????????????? ?????? ??? CPM ????? ?????????
Fake,"Jaiva.yudham- ithu thanne 3 rd lola Maha yudham.Manushyar aaydham use chaitu war nadathuna kaalam vitittu Jaiva wepons use chaitu.ivide skhya sakthikal Uthara Coria,Russia,Beijing. Thats all."
Fake,Ith ??????? ???????????????
original,????? ?????
original,??????? ????? ?? ??? ????????????????? ???? ??
original,???? ????? ??????? ??? 100???? ???????????????? ?????? 500??? ????????? ????????? ??? ????? ?????? ??????? ???????? ???
Fake,?????????? ????? ?????? ????????????? ? ????? ??? ???????? ????? ?????? ????????????????? ????????????
Fake,Nthonnade ithu
Fake,??? ????? ?????????? ?????????. ??? ?????? ????????? ???????.??????? ???????   ?????? ???????  ????????  ??????? ??????? ??????? ??????.
original,evatakalkonum nanam ele ! enth tengayan eth !
original,Adutha masam ente thiruvathira aanu..kalyanam alla kettoo...party layanam aanuu??
Fake,????? ????????????? ??????? ?????? downum ????????? ??????? ?????????
Fake,Nhangal mamma channelukal kanunnath nirthy.Jai Sajan Sir.??
Fake,American   Tramppp    nntta  purrakaa   pooyia   mooddy   .Rasshiya    is   forget
Fake,? ???? ??????? ??????? ????? ?????????????  ????? ????????. ????????? ??????????? ?????
original,Thiruvathira Party of India ?????????????
original,??? ?????? ?????????? ????????? ????????? ??????? ??????? ??????????? ??? ???????????? ??????? ??????? ?????? ??????? ??????? ??????????!!! ??????????? ???? ????????? ?????? ???????????!!!
Fake,?????? ???????? ??????? ?? ????????????
Fake,??????? ??????? ????????????? .
original,Makaravilakkum kaanikkane
Fake,??? ??? ??? ???????? ???????? ??????? ???? ??????????? ????? ???????? ??????????? ??????? ?????? ???? ???????????? ?????? ?????????? ??????? ??????? mutation ???? ?????? ??????? ????????? ??????????? ???? ????????? ???????? ??? ??? ???????? ????? ???? ????????? ??? ??????? ????? ????????????? ?????
Fake,Old story... Bring something new
original,Attukal pongala anuvadhikkanam..... Ithinekkaaalum surakshidhamaaanu
original,?????? ??????? ???? ?????
original,?????? ????
original,Ethu ?????? ???????? ?????? ? paatu ?????? udeshichillennu
Fake,Until now there is no evidence that virus is genetically created. I will be doing such a video in Qnow channel
original,Super  ?
Fake,Sathaythill ethokke avarude plan annu
Fake,Chinaye illaathaakkanam
original,"?????? ?????????? ?????, ???????????? ?? ???????? ????? ???????????? ?????? ?????????? ??????? ?????????? ??????? ????."
original,Miiyran maru motham kulam thonditte poku.. Vote cheytha jayipichavan oke anubhavikate
original,???????????? ??????? ????????? ???????????? - ?????? ????????????????? -
Fake,Maybe this is secret biological war between America and Europe and another view point is the use of dictatorship and defect of democracy
original,??? ??????????  ???? ?????? ?????? ???????? ???? ???????
original,Koottam koodaruth ennu parannjaaal ningalkk mansssillaavilley....
original,? ??????? ??????? ???????????? ???????? ????????? ???????? ?????? ???????.???????????... ???? ????????? ?????????? ?????????? ?????? ???..
Fake,Ne podee
Fake,"Nalla vartha  good - innu kalathumuthal whatsappil karangunna oru item eduthu varthayakki, pl bear in mind Kerala people r much ahed of u, pl have some true investigative jounalisam."
original,Party ???????? ?????? ?????????? ??? ???????? und.......
original,"Ellaarum Vimarshichitt Pinaraayi daivathinte kopam vaangi koottanda, ath mathi covid parakkaan ?...."
Fake,"Already some of chinese doctors reported 2019 september , corona virus and pneumonia, also news reported later they deleted news. Indian top news channel reported (WION) these political agenda.."
original,??????? ????...
Fake,"Really, there is a huge deal of foul play. This seems to be a biological weapon to destroy the world order."
Fake,???? ?????? ????...
original,??????????<br>??????????<br>???? ??????? ???????????? ???????? ????
Fake,??????????? ???? depopulation ????????? ??????? ? ?????.
Fake,????  ??  ?????  ?????? ?????  ???????  ?????  ?????  ?????  200 ????????????  ??????  ????? ???????  ?????
original,?????? ???????
Fake,?????? ???????????? ???????? ???????? ? ?????? ????????????? ?????????????
Fake,??????? ? ????? ????????? ???????????<br>???? ?????? ???? ???? ???????? ????? ?????????.<br>?????? ?????? ????? ????????? ????? ??????? ????? ????? ??????? ?????.<br>??????????? ????? ??????? ????????? ????????????.<br>?..?..?..
Fake,??????? ?????????? ?????????????
Fake,????????? ????????? ????? ?????? ?????. ?????????? ??????? ????????? ???????????? ??????? ???????? ?????????.???????? ???????? ????????? ??????? ????????? ???? ???????.
original,"????, ??????? ???????"
Fake,Ramzan adukkumbazhekkum  lock aakkum athallea oru sugho ....
original,? ??????? ?????
original,?????????? ????????????? ??? ????????? ?????????? ?????
original,Rip ????????? ??
original,???????? ???? ???????? ???? ???????
original,pravasikl onum oru cash polum sahayikaruth evanmare
Fake,??????????????  ???????? ??????????????????? ????? ????????
Fake,????? ??????? ?????????? ??????????????
original,???????????????? ????? ?????????????.<br>????????. ??? ??????? ??????. <br>????????? ?????? ???????????? ????????? ???????<br>?????. ????????? ???????
original,"??, ????? ????? ?????????? ?????"
Fake,Saadhikkatte enn aashamsikkunnu
original,kashtam ithupolulla komaali sarkar swapnanglil maathram
original,India nanam kettu poi
original,"????????? ???? ????????????? ??? ???????????.....<br>?????? ??? ?????? ??????????, ??????? ????? ??? COVID ???????????? ?????? ????? ?????????? ??????? ??? ????????? (?????? ?? ????? ????????) ?????????????......"
original,Adupp niyamam
original,Ente ummaku Hart block vannu angigram cheyyendi vannu
original,???? ????????? ?????? ???????? ????????? ?????????????
original,Covidoke ?????? ????? ???????? ?????? ?????... ??
original,"&quot;???????&quot; ??? ???? ?????? ????, ??????????? ???? ?????? ??? ?"
original,????? ????????? ?? ????? ????? ??????? ???????? ??????? ????????? ??? ?????? ??????? ????? ????????? ?????? quarantine ???? ??????? ?????? ?????? ???????? ??????????????? ?????? ?????. ???? ?????? ??????? ???? ????????
original,???? ???????? ? ????? ????????....??????? ?????? ???????????????....
original,Prathikarikku prathishethikku nammude naadine rakshikku.
Fake,Evarku oru avasaram koduku.allade eppozhum ayurvedathe thalliparayathe.
Fake,?????????? ???? ???????? ?????? ??????????? ??????? ????? ?????????
original,Ldf doing stupid things.
original,Nakikalaaya malayalikal
Fake,1000 ? ??? ?????? ?????? ??????????? ???? ????? ?????? ??????????? ???????  ????  ?????? ?????? ??????????  ?????????????  ????? ?????
original,"?????????, ????????, ????????? ???????????? ??? ??????"
Fake,???? ???????? ???????? ???????????.
Fake,Yandayalum America ku engana oru ade venum butcha edel podu janagal badechu. Angana yanu iraq lu adu pola. Ulla natulum America katti kuttiyadu
original,Love CPIM ?????
Fake,China deserves a nuclear attack from Europe and usa
Fake,"AAA vaacsin,AAA innu aaaanirthamo aaaa arochakam. Aaaamr.aa naveen"
Fake,Corona iniyanu theevratha varan pokunnathu.....depopulation agenda start ayi......innum saudhiyil cherupakar marichu veeeeenu
original,????? ?????? ?????? ???? ??? ??????? ?????????? ??? ????????? ??? ??? ????????????????? ???...
original,Aru chathal entha CPM jayiknm!!!??
Fake,"????????? ????????????? ??? ???????? ???????? ??????? ???? ?????? ????? ??? ???????? ???. ????? ?????????? ????? ???? ?????? ????? ??? ?????????????? ?? ??? ?????????? ??? ??????????? ?????? ????????. ?????? ??? ???????? ?????????? ????????????????? ??? ?????????? ??????? ?????????? ?????? ????? ????? ??????????? ????? ??????? ??? ??????????? ???? ???????? ???????? ??????? ???????? ??????? ?????????????. ????????? ????? ??????? ??? ????????, ???, ????????? ????? ?????????? ??????? ??????? ???????. ??? ?????????? ??????? ??? ???? ???????? ?????? ??????? ?????????? ??? ??????? ????? ?????? ?????????????? ?????? ??? ?????????????? ??????????. ????? ????? ??? ??? ???????? ???????????. ?????? ????????? ???????????? ??????? ??? ??????????? ??? ??????????? ?????????????? ?? ???????? ???? ?????????? ???? ??? ????????? ??????? ????????????? ??????. ????????? ????? ????????? ??????? ??????????? ???????????? ???????? ??????? ?? ??? ?????????? ?????????? ?????? ???. ????????? ??????? ????? ???????????. ????? ???? ??? ????????????????? ???????????? ???? ????? ????????? ????? ???????????? ?????? ????????????."
Fake,Dislike ??????????? ??????? ???????? ????
original,E programme poottikkille ithuvare ?
Fake,??? ?????????? ????????? ?????????? ??????? ?????????????  90%???? ???????????? ??? ???? ??????????? ???????.......????????????? ???????????? ??????????????<br>  ??????????.....
Fake,China unnamittathu Europe mathramo.. Aarenkilum chinthichittundo India itra karuthode neridumennu..India ye kuudi easy aayi thakarkam ennu chinthichu kaanille...
original,Adipoli ???
original,????????????? ????? ?????? ????????? ??????? ????????? ?????
original,???????? ??????? ??????????? ??????? ??? ????? ??????? ????? ??????...
original,??????? ????????? ???? ?????? ????? ????????? ????????? ??? ??? ??????? q?????
original,???????? ???? ????????????
Fake,I feel that this epidemic will be there till 30 june 2020
Fake,"??? ??? ??? ??????????.<br>??? ????? ????? ???? ????????? ????? ????????? ????? ??????? ???????? ????? , ?????? ????? controlled ???? ?????? ?????? ??? ????? ????????? ???? ???? ???????? ????????? ????? ???????????? ????????? ????????? ??????????. ??????????? ????? ????? ????????????? ????? ???? ???????? ???????????????? ?????. For example india ???? ????????? ????? ????? ????? ???????????? ?????? ???????? ?????? ?????? ??? ????? ???????? ???????? ????? ???????? ??????? ????? ???? ???? ????? ??????? ????????? ?????????????? ????? ????????? ????,<br>????? ??????? ????? ????????? ????? ????? ?????? ?????????????? ?????? ?????? ???? ???????? ??? ?????????? ??????? ??????? ?????. ??? ??? ????? ?????? ?????? ?????."
original,?????????? ???????? ????????????????? ???????????
original,??????????????? ???????
Fake,Ith chikilsayella bakshanaman chikilsa sir parachath    sheriyano enn avasaram koduthoode corona oru virous aayirikkam bakshe veetil irunnu nadan marunn cheith chikilsikkam anubavam aan
original,"Chirikaanum vayya.....karyanum vayya.....evide nokhiyalum....agalam palikathathinu....pravasikalu kuthakaaran,.....kolllhammm"
Fake,"????? ????, ?????????? ???? ????????????????????? ?????? ???? ????????????? ????????? , IMO ?????????? ???? ????????????? ????????????"
Fake,??? ????? ????????? ???????? ?????????... ????????? ????????????...
Fake,Nashicha vaccine edukandayirunnu kop ?
original,Ithine okke pidich kinattil idanam
original,Enthokke paranjalum pravasi quarantine irikanam ?
Fake,This is surely China&#39
original,??????? ????????
original,"Keralam vere rajyam ano, pinarayi cheythato"
original,????? ?????  ????????? ?????. ???????? ????????
original,CPM ?? ?????????? ?????
original,?????? ?????????? ?????? ??? ??????? ?????
Fake,??? ??? ????????
Fake,???? ?????? distancing ?????? ?????
original,? ???????? ?????????? ????????????????? ?????
Fake,?????????? ????? ??????????????? ?????????
original,?????? pine ??? ??????? ??????????... ?????
Fake,?????? ???? ???? ??????? ??????? ??????? ?? ?? ?????? ??????? ??????? ???? ?????? ??? ???? ??????? ??????? ????? ????? to
Fake,China cheated the whole world. World should boycott China and their products.
Fake,???? ?????? .  ??????? ??????? ??????????????? .       ????? ???????????? ????????????? ????????????  ????? ??????????????????? ?????  ?????????????? ???? ????????? &#39
original,Foolish Act.
Fake,??????? ??????????????? ????????????? ????? ??? ?????. ?? ??????? ??????? ???????????????? ??? ??????? ???????????? ????????
original,"?????????? ???????? ????????? ????????????????? ????????????? ??? ? ????????? ??????????????? ?????? ??????????????? ??????????? ????????? ??????? ?????? ??? ??????? ??????? ??????????? ??????????? , ???????? ?????? ??????????? ????????? ?? ??????? ."
Fake,??? ???? ????????? ??????? ???? ????????  ?????????????? ?????? ????????  ??????? ???? ????????? ????????? ??   ??? ????????? ???? ??????? ??????????  ??????? ????? ???? ??? ????? ????????? ??????? ? ????? ???????? ??????? ?????????? ????????
original,Sanki chanagam
Fake,?? ?? ????????? ??? ??????? ???????? ????????????. ????????? ???? ???????????. ??? ???????????? ?????. Camera???? ??????? ??????? ?????????? ???????? ????????.
Fake,GOMUTHRUM  CHAI NAKU  MODI KODUTHU       VITIRIKUM
Fake,idokky ellavarkkum ariyamenggilum idupolulla nalla karyaggal parajhukodukku. ellady vargeyada pulabbi manushyaray thammil thallikan nadakalla. thaniku dayvattilikky vishwasamunddo saja?    oru vargeeyavadikkorikkum dayvattilinnum vishwasamuddagilla .
Fake,???????? ??????? ?????? ????? ?????? ???? ??????????? ?????? ????????. ????? ?????? ????????? ?????? ???????????. ?????? ????????????? ????????????? ??????? ?????????? ??????. ????????? ?????? ????? ?????. ?????? ??????? ??? ????????????. 2022??? ????? ? ??????? ????????.
Fake,????? ??? ???? ?? ????????? - ????? ????? _
original,????
Fake,Athe a velluvili sweekarikuga
original,???????? ?????? ???? ????????? ?????.
original,?????? ?????????? ?????? ? ?????? ????????? ???????????? ???? ?????????? ??????? ??? ??????? ????. ????? ???? ???????????? ????????? ????????? ???????? ????????? ???????????????
original,???? ldf ???
original,?????????
original,Inhjethunna Nishanthe parennathu.?<br>Nhjammakku badhakamalla ethonnum?<br>Thirinjhina?
Fake,????????? ????????? ??? ???? ????????? ?? ?????????. ?????? ?????????? ?????? ????? ???? ???.
Fake,?????????????? ????????????? ?????????????? ?????? ??????? ???????????? ?????????? ?
Fake,This is like zombie land.
Fake,Bil blind china
Fake,Chinaye...panjikittukoode....
original,???? ???? ????????..??? ??? ??????
original,????? ??????? ?????????? ????????? ???????? ??????? ????? ???? ????? ?????... ????? ?????..... Poli...
original,?????????? ????? ???????? ????? ???????? ?.??? ???? ??????? ??? ???? ???????.???
Fake,"Abdu samad pookottoornu covid protocol ???? ????, then why not for these guyz"
original,Best nadu ?
original,Super Appaa......?????????
original,?????????? ?????? ???????? ???????????? ????????? ???????????? ?
Fake,"????????? ???? ???????????? ?????????????? ??? ?????????  ?????? ?????????????????????. Coronavirus: ‘strange pneumonia’ seen in Lombardy in November, leading Italian doctor says Virus was circulating ‘before we were aware of the outbreak in China’, says Giuseppe Remuzzi, director of the Mario Negri Institute for Pharmacological Research"
original,?????? ?????? ??????????? ????????????? ????????????????? ???? ????? ???????? ??????? ??????
Fake,Evan markku poyi chathoode..
original,??????? ????????????  ?????? ?????? ????? ?????? ??????? ??
original,Vivaravum illa velliyazhachayum illatha No1 party??
Fake,Excellent...
original,??????????? ??????? ???????? ?????? ???????? ?????
Fake,???? panghaduthavar covid ????? ???????? ?????? ????????
original,"?????? ???????  ?????????? ?????  ???  ???, ??????????? ?????????  ??????? ???? ??????????"
Fake,"A pleasing news to thousands , waiting for days with out fear and love to walk with out mask ?"
Fake,?????? ??????????? ? ???? ..??????? ?????????? ???????? ?????? ?????? ???? ..?????? ?????????? ???????? ?????? .. ?????? ??? ????? ????? ?? ??????????? ?? ???????????? .. ????? ????
original,?????? ??????????? ?? ???????? ???? ????? ???????? ??????????????
original,????????? ???????? ??????? ???????? ??????????
original,Verum nariya baranam . Churikki paranjal veetile pattikku adupilumavam
Fake,Kumbhmelaill ulla corona deshiyya coronayyannee???
Fake,Keralathiley kammi kunhungal Delhiyley vivaramonnum arinhillennu thonnunnu onninem kanunnilla
original,???? ??????? ??????????? ???????? ????????????????.
original,???????? ????????? ????????? ??????? .
Fake,????????????? ?????????? ?????
Fake,Really great
original,?????????? ??????? ??????????? ??????? ???????? ????????...?????? ?????????????????...??
Fake,??????? ?????? ???? ??? ??????????
original,Nammada nattil evida kantathe vidheshathuninnum irakumathicheyithathalea avidea lockdown ennu paranjittum avidea anusarikathea nadanavarellam nattil irangi varuthiyathalea
Fake,??? ??????????????? ???? ??????? ????? ???? ?????? ?????????. <br>????? ???? ?????? ???????.
original,Adipoli vaaa povaam
Fake,Ivare okk... Enna parayanaa.... Nammal thanne alle jayippichee.... Anubhavikanmmm
original,Comedy show ayi poyi thiruvathira
Fake,??????? ?????? ?????? ??????? ?? ???????<br>????? ???????????? ??????? ???????? ?????????? ????????????? ???????? ????????? ??????????? ???????? ??? ??????????? . ??? ???? ????? ???????? ???????? ??? ? ???? ???????? ??????? ????? ???????? ???????????? ???????? ??????? ????? ???????? ????????? ????????????? ???????? ??????? ?? ???????? ?????? ???????? ????????? ????? ????<br>??????
Fake,This buffoon kaalakathykkali very bad amidst of Martyr Comrade Deerajs death.  Wondered to note that what happened to the party in the hands of cultureless senseless group. This is very cruel and should not repeat in anyway. Society could have remember today with thanks if the money spent for the same has been spent for providing food for the poor in the name of paavam Deeraj. Some blind illeterates nonsense sitting at top are governing now and ridiculing party and society..... Shame and sorry.
Fake,??? ????? ????????? ???????? ?????????... ????????? ????????????
Fake,"Not correct, China is now facing financial problem.  Their largest construction company is in big trouble"
original,Onnupodo
original,??? ?????? 3 ??????????? ???????? ?????????????? ?????? ???? ???? ??????? ?????
original,????????? ???????? ????????? ?????????? ?????? ??? ??? ????????????????.
Fake,"????? ???????? ?????????? ?????? ?????????????? 1 ?????? ????????? ????????? ???????? , ????? ???????????? ????????? ?????????? ????????????????? ,"
Fake,? ? ?<br>????? ???????? ???? ? ??????????????????????
Fake,???????? ?????? ???? ??????????????? ???????? ??????????? ??????? ?????? ??? ???????
original,??? ?? ??... ?????????? ???????. ?
original,"Parayunnath onne, cheyuunath veronne.. nalla best coordination ?"
original,??????????? ????????????????? ????????? ?????????? ?????????  ??????????? ???????? ??????? ???????????...????????????? ??????????? ????? ???????? ??????????????? ??? ????????.....????????? ??????????????? ????????????? ??????????? ???? ????????? ?????????????????? ??? ?????????? ????????...?????????? ??????.
original,Rakthasakshiye kittiyathinte akhoshamano
Fake,???? sir ?????? ?????   ??? ????????? ??????? ???? ?????
Fake,"??? ?????????? ??? ??????? , ????? ???????? ????????? ??????????"
original,Aa kollam kollam.. Super?
Fake,????? ???????????? ???????
original,Deltaum inde omicronum inde education illatha partyum Kure shavamgalum
original,???? ??? ??????? ??????????????? ??????
Fake,"??????? ??????? ?????????.WHO ???? Tredrous Adhanom ??? ??????? ????????????????????.??????????? ??????? ?????? ?????? ????? ????????????? ???????? ?????? ????????? ??? ??? ???????.<br><br><br>????? ??????? ???????? ???????? ??????? ?????????. ????????????? ???????????? ????????? ?????????? ?????????? ??? ???????????? ?????????????,?????? ??????? ????????......???? ?????????????????? ???????."
